Date,Time,Flight Number,Airlines Name,Airport Name,Terminal,Boarding info,Status
04/04/2024,21:00,SQ431,Singapore Airlines,Male (MLE),,,On Schedule
04/04/2024,21:05,BA16,British Airways,Sydney (SYD),T1,,On Schedule
04/04/2024,21:05,SQ735,Singapore Airlines,Phuket (HKT),,,On Schedule
04/04/2024,21:05,TR611,Scoot,Bangkok (Suvarnabhumi) (BKK),T1,,On Schedule
04/04/2024,21:10,6E1003,IndiGo,Chennai (MAA),T2,,On Schedule
04/04/2024,21:15,ID7157,Batik Air,Jakarta (CGK),T3,,On Schedule
04/04/2024,21:20,QF1,Qantas Airways,Sydney (SYD),T1,,On Schedule
04/04/2024,21:20,SQ222,Singapore Airlines,Sydney (SYD),,,On Schedule
04/04/2024,21:25,SQ157,Singapore Airlines,Phnom Penh (PNH),,,On Schedule
04/04/2024,21:25,TR361,Scoot,Davao (DVO),T1,,On Schedule
04/04/2024,21:30,3K764,Jetstar Asia,Osaka (KIX),T4,,On Schedule
04/04/2024,21:30,OZ751,Asiana Airlines,Seoul (ICN),T3,,On Schedule
04/04/2024,21:30,SQ228,Singapore Airlines,Melbourne (MEL),,,On Schedule
04/04/2024,21:40,HO1605,Juneyao Airlines,Shanghai (PVG),T4,,On Schedule
04/04/2024,21:45,AI382,Air India,New Delhi (DEL),T2,,On Schedule
