Date,Time,Flight Number,Airlines Name,Airport Name,Terminal,Boarding info,Status
04/04/2024,04:50,TR456,Scoot,Kuala Lumpur (KUL),T1,Check-In Row 7,Check Gate at 00:50
04/04/2024,04:55,6E1008,IndiGo,Tiruchirappalli (TRZ),T2,Check-In Row 2,Check Gate at 00:55
04/04/2024,05:15,TR100,Scoot,Guangzhou (CAN),T1,Check-In Row 7,Check Gate at 01:15
04/04/2024,05:30,6E1006,IndiGo,Bengaluru (BLR),T2,Check-In Row 2,Check Gate at 01:30
04/04/2024,05:40,BS308,US-Bangla Airlines,Dhaka (DAC),T3,Check-In Row 11,Check Gate at 01:40
04/04/2024,05:55,TR630,Scoot,Hat Yai (HDY),T1,Check-In Row 7,Check Gate at 01:55
04/04/2024,06:00,3K761,Jetstar Asia,Manila (MNL),T4,Check-In Row 7,Check Gate at 02:00
04/04/2024,06:00,TR608,Scoot,Bangkok (Suvarnabhumi) (BKK),T1,Check-In Row 7,Check Gate at 02:00
04/04/2024,06:00,TR892,Scoot,Sapporo (CTS),T1,Check-In Row 7,Check Gate at 02:00
04/04/2024,06:15,NH802,All Nippon Airways,Tokyo (Narita) (NRT),T2,Check-In Row 8,Check Gate at 02:15
04/04/2024,06:15,TR684,Scoot,Krabi (KBV),T1,Check-In Row 7,Check Gate at 02:15
04/04/2024,06:20,MH602,Malaysia Airlines,Kuala Lumpur (KUL),T2,Check-In Row 7,Check Gate at 02:20
04/04/2024,06:20,SQ950,Singapore Airlines,Jakarta (CGK),T2,Check-In Row 5,Check Gate at 02:20
04/04/2024,06:25,3K833,Jetstar Asia,Wuxi (WUX),T4,Check-In Row 7,Check Gate at 02:25
04/04/2024,06:25,TR818,Scoot,Osaka (KIX),T1,Check-In Row 7,Check Gate at 02:25
04/04/2024,06:25,TR978,Scoot,Hong Kong (HKG),T1,Check-In Row 7,Check Gate at 02:25
04/04/2024,06:30,CX692,Cathay Pacific,Hong Kong (HKG),T4,Check-In Row 6,Check Gate at 02:30
04/04/2024,06:45,SQ934,Singapore Airlines,Bali-Denpasar (DPS),T2,Check-In Row 5,Check Gate at 02:45
04/04/2024,07:00,3K683,Jetstar Asia,Kuala Lumpur (KUL),T4,Check-In Row 7,Check Gate at 03:00
04/04/2024,07:00,TR304,Scoot,Ho Chi Minh City (SGN),T1,Check-In Row 7,Check Gate at 03:00
04/04/2024,07:05,SQ104,Singapore Airlines,Kuala Lumpur (KUL),T2,Check-In Row 5,Check Gate at 03:05
04/04/2024,07:10,SQ706,Singapore Airlines,Bangkok (Suvarnabhumi) (BKK),T2,Check-In Row 5,Check Gate at 03:10
04/04/2024,07:10,TR280,Scoot,Bali-Denpasar (DPS),T1,Check-In Row 7,Check Gate at 03:10
04/04/2024,07:15,3K511,Jetstar Asia,Bangkok (Suvarnabhumi) (BKK),T4,Check-In Row 7,Check Gate at 03:15
04/04/2024,07:15,SQ213,Singapore Airlines,Perth (PER),T3,Check-In Row 3,Check Gate at 03:15
04/04/2024,07:15,SQ241,Singapore Airlines,Sydney (SYD),T3,Check-In Row 3,Check Gate at 03:15
04/04/2024,07:15,TR118,Scoot,Haikou (HAK),T1,Check-In Row 8,Check Gate at 03:15
04/04/2024,07:25,GA823,Garuda Indonesia,Jakarta (CGK),T3,Check-In Row 5,Check Gate at 03:25
04/04/2024,07:25,SQ874,Singapore Airlines,Hong Kong (HKG),T3,Check-In Row 3,Check Gate at 03:25
04/04/2024,07:40,SQ154,Singapore Airlines,Phnom Penh (PNH),T2,Check-In Row 5,Check Gate at 03:40
04/04/2024,07:40,SQ422,Singapore Airlines,Mumbai (BOM),T3,Check-In Row 3,Check Gate at 03:40
04/04/2024,07:40,SQ524,Singapore Airlines,Chennai (MAA),T3,Check-In Row 3,Check Gate at 03:40
04/04/2024,07:40,SQ990,Singapore Airlines,Medan (KNO),T2,Check-In Row 5,Check Gate at 03:40
04/04/2024,07:40,TR658,Scoot,Phuket (HKT),T1,Check-In Row 7,Check Gate at 03:40
04/04/2024,07:50,3K201,Jetstar Asia,Jakarta (CGK),T4,Check-In Row 7,Check Gate at 03:50
04/04/2024,07:50,SQ207,Singapore Airlines,Melbourne (MEL),T3,Check-In Row 3,Check Gate at 03:50
04/04/2024,07:50,SQ922,Singapore Airlines,Surabaya (SUB),T2,Check-In Row 5,Check Gate at 03:50
04/04/2024,07:55,AK700,AirAsia,Kuala Lumpur (KUL),T4,Check-In Row 4,Check Gate at 03:55
04/04/2024,07:55,SQ762,Singapore Airlines,Yangon (RGN),T2,Check-In Row 5,Check Gate at 03:55
04/04/2024,07:55,SQ828,Singapore Airlines,Shanghai (PVG),T3,Check-In Row 3,Check Gate at 03:55
04/04/2024,07:55,TR232,Scoot,Makassar (UPG),T1,Check-In Row 7,Check Gate at 03:55
04/04/2024,08:00,CX710,Cathay Pacific,Hong Kong (HKG),T4,Check-In Row 6,Check Gate at 04:00
